front,back,source,tags
Sou sim,"emphatic ""yes, I am"" (common Brazilian pattern: verb + sim)",Dialogue 01 — Pedindo um Uber,level-a1 dialogue-01
Pode entrar,"""come in"" / ""go ahead and get in""",Dialogue 01 — Pedindo um Uber,level-a1 dialogue-01
né?,"short for ""não é?"" — tag question, like ""right?""",Dialogue 01 — Pedindo um Uber,level-a1 dialogue-01
Beleza,"""cool"" / ""alright"" (very common informal agreement)",Dialogue 01 — Pedindo um Uber,level-a1 dialogue-01
Pode deixar,"""shall I leave..."" / ""want me to keep...""",Dialogue 01 — Pedindo um Uber,level-a1 dialogue-01
Tem...?,"""Do you have...?"" (using ""ter"" instead of ""haver"" — standard in spoken Brazilian PT)",Dialogue 02 — Na padaria,level-a1 dialogue-02
Saiu agora do forno,"""just came out of the oven""",Dialogue 02 — Na padaria,level-a1 dialogue-02
Me dá,"""give me"" (informal, standard way to order)",Dialogue 02 — Na padaria,level-a1 dialogue-02
Pãezinhos,"diminutive of ""pães"" (rolls) — Brazilians love diminutives",Dialogue 02 — Na padaria,level-a1 dialogue-02
Quanto fica?,"""How much does it come to?""",Dialogue 02 — Na padaria,level-a1 dialogue-02
Pode aproximar,"""you can tap"" (contactless payment)",Dialogue 02 — Na padaria,level-a1 dialogue-02
Com licença,"""excuse me"" (polite way to get attention)",Dialogue 03 — Pedindo comida num bar,level-a1 dialogue-03
Bem gelada,"""very cold"" (Brazilians take cold beer seriously)",Dialogue 03 — Pedindo comida num bar,level-a1 dialogue-03
Pode ser,"""that works"" / ""sure, why not""",Dialogue 03 — Pedindo comida num bar,level-a1 dialogue-03
Me traz,"""bring me"" (informal order)",Dialogue 03 — Pedindo comida num bar,level-a1 dialogue-03
Fechou,"literally ""closed"" — means ""deal!"" / ""done!""",Dialogue 03 — Pedindo comida num bar,level-a1 dialogue-03
Valeu,"""thanks"" (informal, very common)",Dialogue 03 — Pedindo comida num bar,level-a1 dialogue-03
Pertinho,"diminutive of ""perto"" (close) — means ""very close""",Dialogue 04 — Perguntando direções,level-a1 dialogue-04
Segue reto,"""go straight""",Dialogue 04 — Perguntando direções,level-a1 dialogue-04
Quadras,"""blocks""",Dialogue 04 — Perguntando direções,level-a1 dialogue-04
Vira à esquerda,"""turn left""",Dialogue 04 — Perguntando direções,level-a1 dialogue-04
Um pouquinho,"diminutive of ""um pouco"" — ""a little bit""",Dialogue 04 — Perguntando direções,level-a1 dialogue-04
Não tem como errar,"""you can't miss it""",Dialogue 04 — Perguntando direções,level-a1 dialogue-04
Lá no fundo,"""in the back""",Dialogue 05 — No supermercado,level-a1 dialogue-05
Do lado esquerdo,"""on the left side""",Dialogue 05 — No supermercado,level-a1 dialogue-05
Corredor,"""aisle""",Dialogue 05 — No supermercado,level-a1 dialogue-05
Laticínios,"""dairy products""",Dialogue 05 — No supermercado,level-a1 dialogue-05
Sacola,"""bag"" (plastic/reusable bag)",Dialogue 05 — No supermercado,level-a1 dialogue-05
